User ID,Gender,Age,EstimatedSalary,Purchased
15772073,1,53,143000,Yes
15701537,0,42,149000,Yes
15736228,0,38,59000,No
15780572,1,50,88000,Yes
15769596,1,56,104000,Yes
15586996,1,41,72000,No
15722061,1,51,146000,Yes
15638003,1,35,50000,No
15775590,1,57,122000,Yes
15730688,0,41,52000,No
15753102,1,35,97000,Yes
15810075,1,44,39000,No
15723373,0,37,52000,No
15795298,1,48,134000,Yes
15584320,1,37,146000,Yes
15724161,1,50,44000,No
15750056,1,52,90000,Yes
15609637,1,41,72000,No
15794493,0,40,57000,No
15569641,1,58,95000,Yes
15815236,1,45,131000,Yes
15811177,1,35,77000,No
15680587,0,36,144000,Yes
15672821,1,55,125000,Yes
15767681,1,35,72000,No
15600379,0,48,90000,Yes
15801336,1,42,108000,Yes
15721592,0,40,75000,No
15581282,0,37,74000,No
15746203,1,47,144000,Yes
15583137,0,40,61000,No
15680752,1,43,133000,No
15688172,1,59,76000,Yes
15791373,0,60,42000,Yes
15589449,0,39,106000,Yes
15692819,1,57,26000,Yes
15727467,0,57,74000,Yes
15734312,0,38,71000,No
15764604,0,49,88000,Yes
15613014,1,52,38000,Yes
15759684,1,50,36000,Yes
15609669,1,59,88000,Yes
15685536,0,35,61000,No
15750447,0,37,70000,Yes
15663249,1,52,21000,Yes
15638646,0,48,141000,No
15734161,1,37,93000,Yes
15631070,1,37,62000,No
15761950,1,48,138000,Yes
15649668,0,41,79000,No
15713912,1,37,78000,Yes
15586757,0,39,134000,Yes
15596522,0,49,89000,Yes
15625395,0,55,39000,Yes
15760570,0,37,77000,No
15566689,1,35,57000,No
15725794,1,36,63000,No
15673539,0,42,73000,Yes
15705298,1,43,112000,Yes
15675791,0,45,79000,No
15747043,0,46,117000,Yes
15736397,1,58,38000,Yes
15678201,0,48,74000,Yes
15720745,1,37,137000,Yes
15637593,0,37,79000,Yes
15598070,1,40,60000,No
15787550,0,42,54000,No
15603942,1,51,134000,No
15733973,1,47,113000,Yes
15596761,0,36,125000,Yes
15652400,1,38,50000,No
15717893,1,42,70000,No
15622585,0,39,96000,Yes
15733964,1,38,50000,No
15753861,1,49,141000,Yes
15747097,1,39,79000,No
15594762,1,39,75000,Yes
15667417,1,54,104000,Yes
15684861,0,35,55000,No
15742204,0,45,32000,Yes
15623502,0,36,60000,No
15774872,1,52,138000,Yes
15611191,1,53,82000,Yes
15674331,0,41,52000,No
15619465,1,48,30000,Yes
15575247,1,48,131000,Yes
15695679,1,41,60000,No
15713463,0,41,72000,No
15785170,1,42,75000,No
15796351,0,36,118000,Yes
15639576,1,47,107000,Yes
15693264,0,38,51000,No
15589715,1,48,119000,Yes
15769902,0,42,65000,No
15587177,0,40,65000,No
15814553,0,57,60000,Yes
15601550,1,36,54000,No
15664907,0,58,144000,Yes
15612465,0,35,79000,No
15810800,1,38,55000,No
15665760,0,39,122000,Yes
15588080,1,53,104000,Yes
15776844,0,35,75000,No
15717560,1,38,65000,No
15629739,1,47,51000,Yes
15729908,0,47,105000,Yes
15716781,1,41,63000,No
15646936,0,53,72000,Yes
15768151,1,54,108000,Yes
15579212,0,39,77000,No
15721835,0,38,61000,No
15800515,1,38,113000,Yes
15591279,0,37,75000,No
15587419,1,42,90000,Yes
15750335,1,37,57000,No
15699619,0,36,99000,Yes
15606472,0,60,34000,Yes
15778368,0,54,70000,Yes
15671387,1,41,72000,No
15573926,0,40,71000,Yes
15709183,0,42,54000,No
15577514,0,43,129000,Yes
15778830,1,53,34000,Yes
15768072,1,47,50000,Yes
15768293,1,42,79000,No
15654456,0,42,104000,Yes
15807525,1,59,29000,Yes
15574372,1,58,47000,Yes
15671249,0,46,88000,Yes
15779744,0,38,71000,No
15624755,1,54,26000,Yes
15611430,1,60,46000,Yes
15774744,0,60,83000,Yes
15629885,1,39,73000,No
15708791,0,59,130000,Yes
15793890,1,37,80000,No
15646091,1,46,32000,Yes
15596984,1,46,74000,No
15800215,1,42,53000,No
15577806,0,41,87000,Yes
15749381,1,58,23000,Yes
15683758,0,42,64000,No
15670615,0,48,33000,Yes
15715622,1,44,139000,Yes
15707634,0,49,28000,Yes
15806901,1,57,33000,Yes
15775335,0,56,60000,Yes
15724150,1,49,39000,Yes
15627220,0,39,71000,No
15672330,0,47,34000,Yes
15668521,1,48,35000,Yes
15807837,0,48,33000,Yes
15592570,0,47,23000,Yes
15748589,1,45,45000,Yes
15635893,0,60,42000,Yes
15757632,1,39,59000,No
15691863,1,46,41000,Yes
15706071,0,51,23000,Yes
15654296,1,50,20000,Yes
15755018,0,36,33000,No
15594041,1,49,36000,Yes
